"date","count","size"
"2017-06-08 00:00:00",289,5416764682126
"2017-06-09 00:00:00",214,2009435860024
"2017-06-10 00:00:00",288,2800312531786
"2017-06-11 00:00:00",438,4076571797684
"2017-06-12 00:00:00",266,1673088579625
"2017-06-13 00:00:00",236,1731370898238
"2017-06-14 00:00:00",204,2572539772820
"2017-06-15 00:00:00",347,2192534224739
"2017-06-16 00:00:00",277,1890406332221
"2017-06-17 00:00:00",220,1318532266495
"2017-06-18 00:00:00",232,6529080830745
"2017-06-19 00:00:00",260,2799490138126
"2017-06-20 00:00:00",194,2644768780056
"2017-06-21 00:00:00",368,3556066327055
"2017-06-22 00:00:00",254,1582847790397
"2017-06-23 00:00:00",168,1636724173948
"2017-06-24 00:00:00",225,1520231577071
"2017-06-25 00:00:00",175,2380789275661
"2017-06-26 00:00:00",187,1134049959981
"2017-06-27 00:00:00",216,1226789630161
"2017-06-28 00:00:00",227,1084115324677
"2017-06-29 00:00:00",292,1252084468415
"2017-06-30 00:00:00",281,1351396389147
"2017-07-01 00:00:00",276,2297305397865
"2017-07-02 00:00:00",264,1074656881786
"2017-07-03 00:00:00",194,1111270976021
"2017-07-04 00:00:00",244,1750655188775
